subj_idx,rt,response
4,0.0915,1
4,0.0635,1
4,0.0565,1
4,0.0685,1
4,0.0605,1
4,0.0765,1
4,0.014499999999999999,1
4,0.0805,1
4,0.0465,1
4,0.1355,1
4,0.20350000000000001,1
4,0.07150000000000001,1
4,0.0585,1
4,0.0855,1
4,0.3055,1
4,0.1955,1
4,0.0445,1
4,0.0625,0
4,0.0305,1
4,0.0655,1
4,0.08650000000000001,1
4,0.0415,1
4,0.0455,1
4,0.1155,1
4,0.0955,1
4,0.0675,1
4,0.1085,1
4,0.1055,1
4,0.1505,1
4,0.2475,0
4,0.23450000000000001,0
4,0.0605,1
4,0.0215,1
4,0.0225,1
4,0.0235,1
4,0.0545,1
4,0.1885,1
4,0.08650000000000001,1
4,0.0685,1
4,0.035500000000000004,0
4,0.2185,1
4,0.0385,1
4,0.07150000000000001,1
4,0.1405,1
4,0.0115,1
4,0.07050000000000001,1
4,0.0535,1
4,0.0195,1
4,0.0375,1
4,0.2745,1
4,0.1265,1
4,0.1115,1
